userId,Pulp Fiction (1994),Forrest Gump (1994),"Shawshank Redemption, The (1994)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Silence of the Lambs, The (1991)","Matrix, The (1999)","Usual Suspects, The (1995)",Batman (1989),"Fugitive, The (1993)",Aladdin (1992),Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode V - The Empire Strikes Back (1980),Independence Day (a.k.a. ID4) (1996),Gladiator (2000),Schindler's List (1993),Seven (a.k.a. Se7en) (1995),Braveheart (1995),Terminator 2: Judgment Day (1991),Apollo 13 (1995),"Lord of the Rings: The Fellowship of the Ring, The (2001)"
11,0.0,5.0,4.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,4.0,5.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0
14,3.0,4.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,0.0,4.0,0.0
15,4.0,5.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,5.0,5.0,3.5,5.0,5.0,3.5,0.0,5.0,0.0,3.5
16,3.0,3.5,4.0,3.5,3.0,3.5,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,3.5,0.0,0.0,0.0,3.5
17,5.0,5.0,5.0,4.5,4.5,5.0,4.5,4.5,0.0,0.0,5.0,5.0,4.0,0.0,4.5,4.0,4.5,4.5,3.5,4.5
18,4.0,4.5,5.0,4.0,4.5,4.5,5.0,0.0,3.5,3.5,4.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,0.0,4.5
19,0.0,2.0,0.0,5.0,0.0,4.0,0.0,5.0,4.0,3.0,4.0,4.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,5.0
21,3.5,4.5,0.0,4.0,0.0,4.0,0.0,3.5,0.0,4.0,4.5,4.5,3.5,2.5,0.0,0.0,0.0,3.5,0.0,1.5
22,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
23,3.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,4.0,4.5,4.5,4.5,4.5,4.0,4.0,0.0,3.5,0.0,0.0,0.0,3.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0
26,4.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0
27,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,4.5,4.0,3.5,2.5,2.5,4.0,3.5,2.5,3.0,0.0,4.0,4.0,3.0,4.0,3.0,3.0,3.5,4.5,0.0,3.0
29,3.5,4.5,4.5,4.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0
30,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,3.5,0.0,5.0
31,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
33,5.0,5.0,4.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0,3.0,0.0
34,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,3.5,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
36,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,5.0,4.0,4.0,0.0,5.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
38,3.0,3.0,5.0,0.0,3.0,0.0,5.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0
39,5.0,0.0,0.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0
40,5.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0
